transaction_id,store_id,price,quantity,discount,total_spent,price_imputed,discount_imputed,total_spent_clean
1000,103,106.23,2,0.0,212.46,106.23,0.0,212.46
1001,104,82.73,6,,496.38,82.73,0.15,421.923
1002,101,49.88,5,0.05,236.93,49.88,0.05,236.93
1003,103,123.0,9,0.15,940.9499999999999,123.0,0.15,940.9499999999999
1004,103,104.29,5,0.1,469.30500000000006,104.29,0.1,469.30500000000006
1005,104,28.58,2,,51.443999999999996,28.58,0.15,48.586
1006,101,,5,0.0,685.4000000000001,66.13,0.0,330.65
1007,101,124.27,4,0.1,447.372,124.27,0.1,447.372
1008,103,,7,0.0,999.04,66.13,0.0,462.90999999999997
1009,102,110.23,6,0.1,595.242,110.23,0.1,595.242
1010,103,93.95,2,0.05,178.505,93.95,0.05,178.505
1011,103,65.65,5,0.0,328.25,65.65,0.0,328.25
1012,103,,7,0.0,981.75,66.13,0.0,462.90999999999997
1013,103,,7,0.05,868.357,66.13,0.05,439.76449999999994
1014,104,11.56,5,,57.800000000000004,11.56,0.15,49.13
1015,101,8.82,9,0.1,71.442,8.82,0.1,71.442
1016,104,59.59,4,,214.52400000000003,59.59,0.15,202.606
1017,104,122.53,3,,367.59000000000003,122.53,0.15,312.4515
1018,104,,4,,533.376,66.13,0.15,224.84199999999998
1019,103,26.81,5,0.15,113.94249999999998,26.81,0.15,113.94249999999998
1020,102,91.15,6,0.0,546.9000000000001,91.15,0.0,546.9000000000001
1021,101,60.23,3,0.05,171.6555,60.23,0.05,171.6555
1022,102,,2,0.15,247.58799999999997,66.13,0.15,112.42099999999999
1023,104,127.11,4,,508.44,127.11,0.15,432.174
1024,104,126.56,5,,601.16,126.56,0.15,537.88
1025,102,72.96,4,0.1,262.656,72.96,0.1,262.656
1026,102,65.15,3,0.05,185.6775,65.15,0.05,185.6775
1027,102,44.64,8,0.15,303.552,44.64,0.15,303.552
1028,104,13.17,4,,47.412,13.17,0.15,44.778
1029,104,,2,,260.76,66.13,0.15,112.42099999999999
1030,101,122.87,2,0.1,221.16600000000003,122.87,0.1,221.16600000000003
1031,101,,1,0.0,149.96,66.13,0.0,66.13
1032,104,,4,,598.04,66.13,0.15,224.84199999999998
1033,102,85.54,9,0.05,731.367,85.54,0.05,731.367
1034,102,116.5,7,0.05,774.7249999999999,116.5,0.05,774.7249999999999
1035,101,,7,0.05,944.2335,66.13,0.05,439.76449999999994
1036,104,128.2,7,,762.7899999999998,128.2,0.15,762.7899999999998
1037,101,40.87,8,0.15,277.916,40.87,0.15,277.916
1038,101,70.33,1,0.05,66.81349999999999,70.33,0.05,66.81349999999999
1039,103,23.73,8,0.15,161.364,23.73,0.15,161.364
1040,103,,4,0.1,516.024,66.13,0.1,238.06799999999998
1041,103,92.9,4,0.1,334.44000000000005,92.9,0.1,334.44000000000005
1042,102,38.15,4,0.15,129.70999999999998,38.15,0.15,129.70999999999998
1043,104,102.4,6,,522.24,102.4,0.15,522.24
1044,104,94.63,7,,596.169,94.63,0.15,563.0485
1045,104,56.93,6,,341.58,56.93,0.15,290.34299999999996
1046,104,21.47,1,,19.323,21.47,0.15,18.249499999999998
1047,103,102.38,8,0.1,737.136,102.38,0.1,737.136
1048,102,80.44,7,0.15,478.61799999999994,80.44,0.15,478.61799999999994
1049,102,116.99,6,0.1,631.746,116.99,0.1,631.746
1050,103,80.42,6,0.15,410.142,80.42,0.15,410.142
1051,102,128.57,5,0.15,546.4224999999999,128.57,0.15,546.4224999999999
1052,103,85.03,6,0.05,484.671,85.03,0.05,484.671
1053,104,86.34,9,,699.354,86.34,0.15,660.501
1054,103,,9,0.0,1188.9900000000002,66.13,0.0,595.17
1055,104,63.51,8,,482.676,63.51,0.15,431.868
