transaction_id,store_id,price,quantity,discount,total_spent
1000,103,106.23,2,0.0,212.46
1001,104,82.73,6,0.0,496.38
1002,101,49.88,5,0.05,236.93
1003,103,123.0,9,0.15,940.9499999999999
1004,103,104.29,5,0.1,469.30500000000006
1005,104,28.58,2,0.1,51.443999999999996
1006,101,137.08,5,0.0,685.4000000000001
1007,101,124.27,4,0.1,447.372
1008,103,142.72,7,0.0,999.04
1009,102,110.23,6,0.1,595.242
1010,103,93.95,2,0.05,178.505
1011,103,65.65,5,0.0,328.25
1012,103,140.25,7,0.0,981.75
1013,103,130.58,7,0.05,868.357
1014,104,11.56,5,0.0,57.800000000000004
1015,101,8.82,9,0.1,71.442
1016,104,59.59,4,0.1,214.52400000000003
1017,104,122.53,3,0.0,367.59000000000003
1018,104,148.16,4,0.1,533.376
1019,103,26.81,5,0.15,113.94249999999998
1020,102,91.15,6,0.0,546.9000000000001
1021,101,60.23,3,0.05,171.6555
1022,102,145.64,2,0.15,247.58799999999997
1023,104,127.11,4,0.0,508.44
1024,104,126.56,5,0.05,601.16
1025,102,72.96,4,0.1,262.656
1026,102,65.15,3,0.05,185.6775
1027,102,44.64,8,0.15,303.552
1028,104,13.17,4,0.1,47.412
1029,104,130.38,2,0.0,260.76
1030,101,122.87,2,0.1,221.16600000000003
1031,101,149.96,1,0.0,149.96
1032,104,149.51,4,0.0,598.04
1033,102,85.54,9,0.05,731.367
1034,102,116.5,7,0.05,774.7249999999999
1035,101,141.99,7,0.05,944.2335
1036,104,128.2,7,0.15,762.7899999999998
1037,101,40.87,8,0.15,277.916
1038,101,70.33,1,0.05,66.81349999999999
1039,103,23.73,8,0.15,161.364
1040,103,143.34,4,0.1,516.024
1041,103,92.9,4,0.1,334.44000000000005
1042,102,38.15,4,0.15,129.70999999999998
1043,104,102.4,6,0.15,522.24
1044,104,94.63,7,0.1,596.169
1045,104,56.93,6,0.0,341.58
1046,104,21.47,1,0.1,19.323
1047,103,102.38,8,0.1,737.136
1048,102,80.44,7,0.15,478.61799999999994
1049,102,116.99,6,0.1,631.746
1050,103,80.42,6,0.15,410.142
1051,102,128.57,5,0.15,546.4224999999999
1052,103,85.03,6,0.05,484.671
1053,104,86.34,9,0.1,699.354
1054,103,132.11,9,0.0,1188.9900000000002
1055,104,63.51,8,0.05,482.676
1056,104,24.43,9,0.15,186.8895
1057,101,9.17,8,0.15,62.355999999999995
1058,103,114.49,8,0.0,915.92
1059,101,94.94,1,0.15,80.699
1060,103,107.09,5,0.1,481.90500000000003
1061,103,35.88,4,0.05,136.344
1062,101,24.77,2,0.15,42.108999999999995
1063,101,7.11,8,0.15,48.348
1064,103,55.84,3,0.0,167.52
1065,102,90.54,4,0.1,325.944
1066,104,61.88,7,0.15,368.18600000000004
1067,101,68.43,9,0.0,615.8700000000001
1068,104,136.1,2,0.15,231.36999999999998
1069,102,55.5,3,0.0,166.5
1070,102,79.53,4,0.0,318.12
1071,102,118.63,1,0.1,106.767
1072,101,62.5,7,0.15,371.875
